#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Siti Nurhaliza Tarudin @ctdk,9.2M,0.08%,Malaysia,Entertainment and Music Music Singer Artist,2.8M
2,ZIZAN RAZAK @zizanrazak869,7.8M,0.05%,Malaysia,Art Actors Artist,2.4M
3,MIRA FILZAH @mfmirafilzah,7.3M,0.86%,Malaysia,Acting and Drama Celebrity Actors Artist,2.2M
4,Ebit Lew @ebitlew,6.6M,1.21%,Malaysia,,2M
5,Scha Alyahya™ @schaalyahya,6.6M,0.04%,Malaysia,Fashion and Accessories family Modeling Product,2M
6,Janna Nick @jannanick,6.3M,0.19%,Malaysia,Entertainment and Music Fashion and Accessories Business and Finance Actors,1.9M
7,Hanis Zalikha @haniszalikha,6.2M,0.16%,Malaysia,Fashion and Accessories Business and Finance Celebrity Actors,1.8M
8,Madam Amyra @aamyrarosli,6.1M,0.07%,Malaysia,Acting and Drama Celebrity Actors Personal Blog,1.8M
9,Nur Fazura @missfazura,5.8M,0.42%,Malaysia,Entertainment and Music Fashion and Accessories Actors Artist,1.7M
10,Awal Ashaari ® @awalashaari,5.7M,0.04%,Malaysia,Entertainment and Music Actors Public Figure,1.7M
11,HRH Crown Prince of Johor @hrhcrownprinceofjohor,5.5M,3.22%,Malaysia,Life and Society Politics,1.6M
12,UQASHA SENROSE @uqashasenrose2,5.4M,0.65%,Malaysia,Acting and Drama Celebrity Actors Actor,1.6M
13,Ayda Jebat @aydajebat,5.4M,0.09%,Malaysia,"Pets Singer Film, Music & Books Artist",1.6M
14,Fasha Sandha @fashasandha,5.3M,0.05%,Malaysia,Fashion and Accessories Arts and Crafts family Celebrity,1.6M
15,Rozita Che Wan @rozitachewan1,5.2M,0.01%,Malaysia,Fashion and Accessories Celebrity Comedy,1.6M
16,HAIRUL AZREEN IDRIS @hairulazreen,5.1M,0.53%,Malaysia,Acting and Drama Celebrity Actors Artist,1.5M
17,Shuib Sepahtu @shuibsepahtu,5M,0.29%,Malaysia,Pets Music Comedian Creators & Celebrities,1.5M
18,Lisa Surihani Mohamed @lisasurihani,4.6M,0.07%,Malaysia,Beauty and Self Care Celebrity Actors Actor,1.4M
19,Jep Sepahtu @jepsepahtu,4.4M,0.41%,Malaysia,Entertainment and Music Celebrity Actors,1.3M
20,Yana Samsudin @yanasamsudin,4.3M,0.21%,Malaysia,Acting and Drama Fashion and Accessories Celebrity Actors,1.3M
21,Aliff syukri kamarzaman @aliffsyukriterlajaklaris,4.3M,0.05%,Malaysia,Fashion and Accessories Humor Personal Blog Creators & Celebrities,1.3M
22,Wawa Zainal ®️ @w4w4_zainal,4.2M,0.23%,Malaysia,Beauty and Self Care Fashion and Accessories Product Showcase Business and Finance,1.3M
23,A I Z A - L I L O O N A A I @aizalovesam,4.1M,0.51%,Malaysia,Pets Marketing and Advertising Events Celebrities,1.2M
24,Lara Alana Ahmad @laraalanaa,4M,0.19%,Malaysia,family Children Personal Blog,1.2M
25,Shaheizy Sam Samad @shaheizy_sam,4M,0.17%,Malaysia,Acting and Drama Health and Medical Services Actors,1.2M
26,Siti Nordiana Alias @sitinordiana,3.9M,0.22%,Malaysia,Celebrity Music Entertainment and Music,1.2M
27,Hakken 八犬 @_hakkencoser_,3.9M,13.72%,Malaysia,Animation and Cosplay Celebrity Geek Comics,1.2M
28,Khairul Amin Kamarulzaman @khairulaming,3.9M,5.22%,Malaysia,Food Cooking Restaurants Digital Creator,1.2M
29,Erra Fazira @errafazira,3.8M,0.31%,Malaysia,Acting and Drama Entertainment and Music Celebrity Music,1.1M
30,ZaraPrihatin @zarazya,3.7M,0.21%,Malaysia,Product Showcase Marketing and Advertising Actors Public Figure,1.1M
31,Fattah Amin @fattahaminz,3.7M,0.20%,Malaysia,Entertainment and Music Celebrity Actors,1.1M
32,Alif Satar®️ @alifsatar,3.6M,0.29%,Malaysia,Entertainment and Music Fitness and Health Finance Business and Finance,1.1M
33,Aaron Aziz @aarondwiaziz,3.3M,0.11%,Malaysia,Acting and Drama Celebrity Actors,999.3K
34,Anzalna Nasir @anzalnanasir88,3.3M,0.23%,Malaysia,,991.6K
35,Nur Fathia - ファティヤ @fatiyalatiff,3.3M,0.06%,Malaysia,Acting and Drama Beauty and Self Care Celebrity Actors,983.8K
36,Diana Danielle @dianadanielleb,3.2M,0.14%,Malaysia,family Celebrity Actors Actor,954.5K
37,Sheila Rusly™️ @sheilarusly_jspictures,3.1M,0.30%,Malaysia,Food Public Figure Creators & Celebrities,939.8K
38,Izzue Islam ™ @izzueislam,3.1M,0.39%,Malaysia,Celebrity Careers Actors Actor,930.9K
39,Dato Seri Vida @datoserivida,3M,0.30%,Malaysia,Beauty and Self Care Product Showcase,893.1K
40,Ajak Shiro @ajakshiro,2.9M,0.29%,Malaysia,Entertainment and Music Funny Business and Finance Actors,875.5K
41,Amar Baharin @amarbaharin,2.9M,0.03%,Malaysia,Acting and Drama Celebrity Actors,871.7K
42,Siti Sarah Raissuddin @sitisarahraissuddin,2.9M,0.58%,Malaysia,Entertainment and Music Music Singer Artist,864.3K
43,Malaysia Pargo @malaysiainthecity,2.8M,0.31%,Malaysia,Beauty and Self Care Modeling Actors Celebrities,841K
44,zul_ariffin @zul_ariffin,2.8M,0.61%,Malaysia,Fashion Beauty Actors,830.1K
45,FAD & SYAHEERA @fadbocey,2.7M,0.22%,Malaysia,Entertainment and Music Actors Public Figure Creators & Celebrities,803.1K
46,Shila Amzah @shahilaamzah,2.7M,0.54%,Malaysia,Entertainment and Music Singer Artist,795.5K
47,Tomok @tomokofficial,2.6M,0.16%,Malaysia,Entertainment and Music Artists,787.1K
48,Michelle Yeoh 楊紫瓊 @michelleyeoh_official,2.6M,5.11%,Malaysia,Entertainment and Music Celebrity Modeling Actors,778.3K
49,@abam_bocik,2.6M,0.10%,Malaysia,Romance and Wedding Comedy,777.3K
50,Mia Sara Nasuha @therealmiasara,2.6M,0.50%,Malaysia,Entertainment and Music Celebrity Actors,768.2K
51,Izara Aishah @izaraaishahofficial,2.5M,1.31%,Malaysia,Entertainment and Music,747.8K
52,Syafiq Kyle @syafiqkylez,2.5M,1.23%,Malaysia,Entertainment and Music Food Marketing and Advertising Actors,735.6K
53,Emylia Rosnaida @emyliadac,2.4M,0.01%,Malaysia,Entertainment and Music Singer,717.4K
54,B E L L A A S T I L L A H @bellaastillah,2.4M,0.31%,Malaysia,Beauty and Self Care Fashion and Accessories Singer Creators & Celebrities,712.4K
55,Fizo Omar @fizoomar,2.4M,0.04%,Malaysia,Acting and Drama Celebrity Actors Actor,707K
56,Sharifah Sakinah Al-Khaired @sharifah_sakinah,2.3M,0.25%,Malaysia,Fitness and Health Celebrity Health and Medical Services Actors,702.8K
57,B e l l a D a l l y 🕊 @belladally,2.3M,0.49%,Malaysia,Acting and Drama Fashion and Accessories Fitness and Health Travel,700.8K
58,FARA FAUZANA @therealfafau,2.3M,0.08%,Malaysia,Food Actors,690.9K
59,MUGEN RAO @themugenrao,2.3M,4.43%,Malaysia,Celebrity,688.8K
60,🎯H E L I Z A H E L M I 🎯 @nurhelizahelmi,2.3M,0.64%,Malaysia,Beauty and Self Care Home and Garden Singer,687.4K
61,🐲★ 𝗧𝗜𝗭 𝗭𝗔𝗤𝗬𝗔𝗛 𝗥𝗔𝗭𝗔𝗞 ★🌺🇲🇾 @tiz.zaqyah,2.3M,0.07%,Malaysia,Entertainment and Music Actors,677.3K
62,SITI SALEHA @sallywho,2.2M,0.22%,Malaysia,Fashion Celebrity Actors,673.9K
63,Alieff Irfan @irfxn__,2.2M,4.41%,Malaysia,Auto and Vehicles family Automotive Video Blogger,665.3K
