#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Monsta @monsta,9.7M,-,Malaysia,,2.9M
2,Didi & Friends - Lagu Kanak Kanak @UCr9QW8w8CvVAe3MSWZCAn-Q,6.2M,-,Malaysia,,1.9M
3,Omar & Hana - Lagu Kanak-Kanak Islam @UCiZL26ScfRZDdEAkkPJgJbA,5.5M,-,Malaysia,,1.7M
4,TV3MALAYSIA Official @UCCduNupcztaN9sFrHV-fDIg,5.1M,-,Malaysia,,1.5M
5,Alieff Irfan @UCKCK2lumiYpKfD1aEj4W5vg,4.4M,1.1%,Malaysia,,1.3M
6,Alyssa Dezek @UCWxBI083AvHtbns83XGZmng,4.4M,-,Malaysia,,1.3M
7,AnimaSEA - Monsta @UCyTATeB0ejBMon59igN4tVw,4.4M,-,Malaysia,,1.3M
8,JO Channel @UC6XKMuLChaxW4Isw0BTZI8A,3.5M,0.1%,Malaysia,,1.1M
9,Astro Gempak @UCfztuMBrL9F-KqLZk_SY9TA,3.5M,-,Malaysia,,1.1M
10,EjenAli @UC42ZduLx6o3Nqg04kMuMCEw,3.3M,0.4%,Malaysia,,990K
11,Dr Zakir Naik @UC3YmP7nqf514I1zh1eVbzrA,3.3M,-,Malaysia,,978K
12,Syahmi Sazli @UCqWKZzi070JAbB6Adlvn5Qg,2.7M,0.8%,Malaysia,,819K
13,Rusa Music @UC8f4o4-Sw2KitQR8MkIkSiw,2.5M,-,Malaysia,Music Marketing and Advertising,762K
14,BWF TV @UChh-akEbUM8_6ghGVnJd6cQ,2.4M,-,Malaysia,,708K
15,Kartun Studios @UCORc3AiSF6XYjTZapfvd16w,2.2M,-,Malaysia,,669K
16,Mizanur Rahman Azhari @UCxStLx7yb96MGBfIMo20x7Q,2.2M,-,Malaysia,,654K
17,알렉스티비ALEXTV @UC5gXvwPjvZCCJC18WxIhrWQ,2.1M,-,Malaysia,,639K
18,MSK Movies @UCBQhLER2rVxN2TkSuPfJ6rA,1.9M,-,Malaysia,,576K
19,KiniTV @UC9ULnkwvyofZ_sWrzRpyvrg,1.8M,-,Malaysia,,549K
20,Che Nom @UCDBiRJtU16xo86mgs1E8sUw,1.7M,0.1%,Malaysia,,522K
