"NoCopyrightSounds ",33600000,11011230785,1591
"DanTDM ",28600000,19775951435,3705
"KSI ",24100000,6015064768,1252
"Mister Max ",24400000,15973601417,1136
"Jelly ",23500000,15032515044,6331
"Miss Katy ",24500000,15462895287,1079
"Dua Lipa ",23300000,12792401018,222
"Dan Rhodes ",26500000,18558843557,1664
"Ali-A ",18900000,6454576924,4303
"Gaby and Alex ",17200000,8599791929,367
"Sidemen ",21000000,6051069699,349
"Queen Official ",17500000,11172793107,1137
"Little Mix ",16300000,7760494530,278
"JJ Olatunji ",16300000,4235096703,1339
"F2Freestylers - Ultimate Soccer Skills Channel ",14100000,3338277500,779
"BBC News ",15800000,5219037615,21145
"BBC ",14100000,10345796779,18714
"Awakening Music ",14000000,5895370212,923
"DisneyChannelUK ",12900000,13239805858,4517
"colinfurze ",12900000,1737850096,397
"Mrwhosetheboss ",18300000,5224911221,1673
"TommyInnit ",14800000,2349069050,463
"Morgz ",12800000,3527357846,846
"Tiana ",11400000,3241315094,1034
"DisneyJuniorUK ",11900000,12280388976,2871
"Emily Tube ",11100000,3827432341,734
"Slogo ",11600000,8851893106,6270
"Jessie J ",10600000,5738170096,96
"Sing King ",11800000,7678054660,4272
"BBC News ???? ",11500000,4858222538,40179
"Classic Mr Bean ",10400000,3389019245,1680
"Syndicate ",9620000,2133109238,3530
"Gorillaz ",10800000,5694818370,363
"Woody & Kleiny ",15400000,14098827274,1086
"Jungle Beat ",11400000,5720253944,789
"Julius Dein ",9270000,2451490753,385
"The X Factor UK ",9170000,6991097254,5494
"English with Lucy ",10800000,490426319,400
"Shaun the Sheep ",11800000,6270218465,834
"Cartoons for Kids ",8980000,3389711424,2470
"Mumbo Jumbo ",9360000,3039992057,2070
"Top Gear ",8900000,3965481581,1849
"Moonbug Kids - Kids Learning Videos ",10900000,4173418733,1430
"BBC Radio 1 ",8240000,3704564707,4852
"Liverpool FC ",9700000,2681894913,6316
"Grian ",8490000,2435603159,751
"Daz Games ",8530000,2672413657,1557
"Vikkstar123 ",7610000,2158203758,5038
"PlayToys ",7790000,3050738424,1030
"carwow ",9110000,3805071140,2606
"Jeremy Lynch ",11500000,6179524394,752
"TomSka ",7280000,2075452515,177
"YOGSCAST Lewis & Simon ",7080000,4564618612,6435
"LDShadowLady ",7150000,3418445524,1072
"The Beatles ",8200000,6813253792,311
"Passenger ",7350000,4521686470,387
"MessYourself ",6870000,2565660279,1068
"MoreSidemen ",8320000,4213271677,1004
"Boomerang UK ",7270000,3585116797,2292
"James Arthur ",7360000,4365336668,196
"ARPO The Robot ",7650000,3223103910,1315
"24 News HD ",7710000,3392912536,165103
"RubyandBonnie ",8840000,5084401378,616
"Nickelodeon UK ",6930000,7353008393,3248
"Mark Ronson ",6860000,6455750214,20
"Rhia Official ",12300000,5714143049,887
"UKF Dubstep ",6250000,2120845799,1705
"TGFbro ",6170000,1459575959,472
"Wilbur Soot ",5930000,795362967,139
"Russell Brand ",6790000,1263346060,2674
"Manchester United ",8790000,2087630130,3985
"Pingu - Official Channel ",6870000,2788693613,621
"Mrwhosetheboss Shorts ",7100000,3722844989,186
"Niko Omilana ",7420000,615213451,141
"Tiana Wilson ",5880000,1641887399,429
"Capital FM ",6130000,3537766055,2542
"Simon's Cat ",6210000,1573852796,474
"CGP Grey ",6230000,1009114880,189
"Jamie Oliver ",5920000,955104654,2102
"ChrisMD ",6020000,1552058910,509
"Dumori Bay ",5360000,1127304,225
"Space Videos ",5660000,112834302,132
"Real Stories ",6270000,1171415638,1150
"More Emily ",5300000,1480033526,634
"GRM Daily ",6290000,7458604091,14696
"Joe Weller ",5290000,1022107519,323
"WildBrain Kids ",8320000,4030017406,4979
"Sky News ",7540000,4282633039,46009
"Jarvis ",5680000,1694450677,706
"Thoughty2 ",5380000,1036594331,805
"TheDadLab ",5200000,2933744679,830
"Behzinga ",4960000,579732195,872
"BBC Learning English ",6370000,331037103,3576
"Max and Katy ",4740000,1316802359,506
"Man City ",7180000,1961234060,8248
"Wisp ",5180000,1068272135,513
"WillNE ",5030000,852896342,305
"Zerkaa ",4710000,847855843,1998
"Ben Phillips ",4550000,1270551080,858
"Roxxsaurus ",4580000,539030412,933
