#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Arsenal @arsenal,976.2K,-,United Kingdom,Sports,292.9K
2,تلویزیون منوتو @manotoofficial,525.7K,0.21%,United Kingdom,Entertainment & Music,157.7K
3,Bentley Motors @bentleymotors,482.7K,0.38%,United Kingdom,Auto and Vehicles,144.8K
4,Jamie Oliver @jamieoliver,430.7K,0.27%,United Kingdom,Food Product Education,129.2K
5,ایران اینترنشنال @iranintltv,387.4K,0.14%,United Kingdom,News Media,116.2K
6,Wimbledon @wimbledon,325K,1.04%,United Kingdom,Sports,97.5K
7,Morgana Secco @morganasecco,301.7K,0.21%,United Kingdom,family Fitness & Health,90.5K
8,The Archbishop of Banterbury🇬🇧 @thearchbishopofbanterbury,282.5K,1.53%,United Kingdom,Entertainment & Music Funny Life & Society,84.8K
9,West Ham United @westham,266.4K,0.09%,United Kingdom,Sports,79.9K
10,Pink Floyd @pinkfloyd,266.4K,0.36%,United Kingdom,Entertainment & Music,79.9K
11,Leicester City @lcfc,263K,0.08%,United Kingdom,Sports,78.9K
12,boohoo @boohoo,259.4K,0.11%,United Kingdom,Fashion & Accessories,77.8K
13,The UK07 Rider @anurag_dobhal,255.2K,2.3%,United Kingdom,Education Upskilling,76.6K
14,Tate @tate,241.9K,0.43%,United Kingdom,Arts & Crafts Education,72.6K
15,Memes|Music|Gossip @imjustbait,222.3K,0.25%,United Kingdom,Entertainment & Music Fashion & Accessories,66.7K
16,Séan Garnier| World Champion @seanfreestyle,222K,0.13%,United Kingdom,Sports,66.6K
17,Aston Villa FC @avfcofficial,218.7K,0.53%,United Kingdom,Sports,65.6K
18,OH POLLY @ohpolly,188.5K,0.13%,United Kingdom,Fashion & Accessories,56.6K
19,We Are England Cricket @englandcricket,180.4K,0.83%,United Kingdom,Sports,54.1K
20,ESPN UK @espnuk,179.3K,0.28%,United Kingdom,Sports,53.8K
21,Stacey Solomon @staceysolomon,170K,2.17%,United Kingdom,family Entertainment & Music,51K
22,Dezeen @dezeen,160.4K,0.12%,United Kingdom,Arts & Crafts Home & Garden,48.1K
23,House Of CB @houseofcb,158.4K,-,United Kingdom,Fashion & Accessories,47.5K
24,British Memes 🇬🇧 @britishmemes,156.4K,0.54%,United Kingdom,Funny,46.9K
25,Tobi Brown @tobjizzle,151.5K,1.15%,United Kingdom,Gaming,45.5K
26,VEE. @veeiye,145.1K,1.03%,United Kingdom,Fashion & Accessories,43.5K
27,Great British Memes 🇬🇧 @greatbritish.memes,138.8K,0.54%,United Kingdom,Entertainment & Music Funny,41.6K
28,Lisa Lanceford @lisafiitt,135.6K,0.08%,United Kingdom,Fitness & Health,40.7K
