#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Syed Saddiq @syedsaddiq,98.1K,1.85%,Malaysia,Politics,29.4K
2,HRH Crown Prince of Johor @hrhcrownprinceofjohor,92.9K,0.56%,Malaysia,Life & Society,27.9K
3,Anwar Ibrahim @anwaribrahim_my,80.8K,2.21%,Malaysia,Politics,24.2K
4,KL Foodie @kl.foodie,79.8K,0.63%,Malaysia,Food Travel,23.9K
5,Upin & Ipin Official @upinipinofficial,76.5K,0.4%,Malaysia,Animation & Cosplay,22.9K
6,Rhino⚠️🏎 @rhino_,75.7K,0.78%,Malaysia,,22.7K
7,MIRA FILZAH @mfmirafilzah,73.1K,-,Malaysia,Acting & Drama,21.9K
8,ERA - Muzik Hit Terkini @era.je,65.7K,0.2%,Malaysia,Entertainment & Music,19.7K
9,AstroAWANI @501awani,54.4K,0.09%,Malaysia,Entertainment & Music,16.3K
10,Ustaz Wadi Annuar @ustazwadiannuar,51.8K,5.58%,Malaysia,Education,15.5K
11,Vivy Yusof @vivyyusof,46.2K,1.11%,Malaysia,Fashion & Accessories family,13.8K
12,JOHOR DARUL TA’ZIM FC @officialjohor,45.6K,-,Malaysia,Sports,13.7K
13,Dr. Zulkifli Mohamad al-Bakri @drzulkifli.albakri,45.3K,0.68%,Malaysia,Education,13.6K
14,mStar @mstaronlineofficial,45K,0.17%,Malaysia,Entertainment & Music,13.5K
15,Datuk Wira Lee Chong Wei @leechongweiofficial,43.7K,2.56%,Malaysia,Sports,13.1K
16,Hot FM 🇲🇾 @hotfm976,42.8K,0.25%,Malaysia,Entertainment & Music,12.8K
17,Hanis Zalikha @haniszalikha,40.8K,-,Malaysia,Fashion & Accessories,12.2K
18,Ustaz Azhar Idrus @uaioriginal,40.5K,1.48%,Malaysia,Education,12.1K
19,MGAG @mgagmy,37.8K,1.56%,Malaysia,,11.3K
20,🐲★ 𝗧𝗜𝗭 𝗭𝗔𝗤𝗬𝗔𝗛 𝗥𝗔𝗭𝗔𝗞 ★🌺🇲🇾 @tiz.zaqyah,37.4K,0.22%,Malaysia,Entertainment & Music,11.2K
21,Sally 多啦雪 @iamdorasnow,34.7K,2.28%,Malaysia,Fashion & Accessories Pets Beauty & Self Care,10.4K
22,Berita Harian @beritaharian,34.4K,0.09%,Malaysia,News & Politics,10.3K
23,Astro Gempak @astrogempak,33.8K,0.1%,Malaysia,Entertainment & Music,10.1K
24,AHMAD FEDTRI YAHYA @fedtriyahya,33.5K,1.4%,Malaysia,Education Finance Entertainment & Music,10.1K
25,黑皮哥 培永 🇲🇾 @pheiyong,33.1K,2.33%,Malaysia,Arts & Crafts,9.9K
26,Danny Koo 許佳麟 @danny_ahboy,31.2K,0.75%,Malaysia,Entertainment & Music,9.4K
27,HAIRUL AZREEN IDRIS @hairulazreen,30.1K,0.58%,Malaysia,Acting & Drama,9K
28,♕ Chryseis Tan ♕ 陈雪铃 @chrystan_x,29.2K,0.56%,Malaysia,Beauty & Self Care,8.8K
29,Yana Samsudin @yanasamsudin,29.2K,1.34%,Malaysia,Acting & Drama Fashion & Accessories,8.7K
30,Tomok @tomokofficial,28.8K,0.29%,Malaysia,Entertainment & Music,8.6K
31,Watsons Malaysia @watsonsmy,26.6K,0.29%,Malaysia,Beauty & Self Care,8K
32,Hanxiiaoaii韓曉噯🌹 @hanxiiaoaii,26.4K,-,Malaysia,Entertainment & Music Games,7.9K
33,Raysha Rizrose @raysharizrose,24.5K,1.1%,Malaysia,Fashion & Accessories,7.4K
34,達達 Wilbur Ng @mr_wilbur,24.5K,0.65%,Malaysia,Animals Entertainment & Music,7.3K
35,May Ho @mayho10,23.9K,0.57%,Malaysia,Travel Fashion & Accessories,7.2K
36,𝗝oey Tng @joeytng,22.9K,-,Malaysia,Fitness & Health,6.9K
37,Cherry Haw 邱蕙菁 🍒 @cherryhaww,22.5K,1.06%,Malaysia,Fashion & Accessories,6.8K
38,Azira Shafinaz | DE FAM @azirashafinaz,22.4K,3.4%,Malaysia,Entertainment & Music,6.7K
39,手癢計劃 Soya's Plan @soya_plan,22.3K,0.9%,Malaysia,Food,6.7K
40,JE Pong 庞琂予 @jeii_pong,21.8K,0.66%,Malaysia,Entertainment & Music Product Showcase,6.5K
41,B e l l a D a l l y 🕊 @belladally,21.7K,1.28%,Malaysia,Acting & Drama Fashion & Accessories Fitness & Health Travel,6.5K
42,马来西亚星洲日报（sinchew） @sinchewdaily,21.4K,0.05%,Malaysia,Education News,6.4K
43,B E L L A A S T I L L A H @bellaastillah,20.7K,-,Malaysia,Beauty & Self Care Fashion & Accessories,6.2K
44,Malaysiakini @malaysiakini,19.8K,0.04%,Malaysia,News Media,5.9K
45,IRMA HASMIE IBRAHIM @irmahasmie,19.8K,0.85%,Malaysia,Entertainment & Music Finance,5.9K
46,Harian Metro @hmetromy,19.7K,0.08%,Malaysia,News and Politics,5.9K
47,Buletin TV3 @buletintv3,19.4K,0.04%,Malaysia,Entertainment & Music,5.8K
48,Bernama @bernamaofficial,19.1K,0.03%,Malaysia,,5.7K
49,Mark O’dea (ALAMARK!) @markodea8,19K,0.77%,Malaysia,Acting & Drama Entertainment & Music,5.7K
50,Ling Tai Yong 林大咏 @lingbigyong,18.1K,0.9%,Malaysia,Education Entertainment & Music,5.4K
51,YIFEIS 宜霏🦋 @yifeis,18.1K,0.42%,Malaysia,Beauty & Self Care Fashion & Accessories,5.4K
52,Mekyun @mekyunn,18K,1.3%,Malaysia,Funny,5.4K
53,可🧜 @heyiamcoco__,17.8K,1.85%,Malaysia,Beauty & Self Care,5.3K
54,Iven Lee 阿源 @iven_lee,17.6K,1.21%,Malaysia,Fashion & Accessories Arts & Crafts,5.3K
55,Akim Ahmad @akimahmad,17.4K,0.75%,Malaysia,Entertainment & Music,5.2K
56,Fasha Sandha @fashasandha,17.3K,0.44%,Malaysia,Fashion & Accessories Arts & Crafts family,5.2K
57,Ng Ka Long 伍家朗 @ngklangus,17.2K,0.46%,Malaysia,Outdoor Activity Sports,5.2K
58,Samsung Malaysia @samsungmalaysia,17K,0.23%,Malaysia,Technology Product Showcase,5.1K
59,𝒜𝒾𝓀𝒴𝑒𝓃 | 邢益燕💛💚💙💜💗❤ @victoria_aikyen,17K,0.35%,Malaysia,Travel Health Education Marketing,5.1K
60,TARBIAH SENTAP @tarbiahsentapofficial,16.7K,1.06%,Malaysia,Education Entertainment & Music,5K
61,JW @juweiteoh,16K,0.35%,Malaysia,Arts & Crafts Product Education,4.8K
62,Hishammuddin Hussein @hishammuddinhussein,15.9K,1.53%,Malaysia,Politics,4.8K
63,Iman Abdul Rahim 🌸 @imanabdulrahim,15.9K,0.43%,Malaysia,family,4.8K
64,菲道尔 🇲🇾 @fffirdhaus,15.8K,1.62%,Malaysia,Entertainment & Music,4.7K
65,Yvonne 蔡怡汶 🇲🇾 @yvonnechua,15.5K,0.92%,Malaysia,Modeling,4.7K
66,Lim Shang Jin @limshangjin,15.4K,0.14%,Malaysia,Product Showcase,4.6K
67,Modest Lifestyle @minaz.my,15.3K,0.58%,Malaysia,Fashion & Accessories Beauty & Self Care,4.6K
68,“As comfy as clothes can get” @calaqisya,15.2K,0.11%,Malaysia,Fashion & Accessories,4.6K
69,Erra Fazira @errafazira,15.1K,0.93%,Malaysia,Acting & Drama Entertainment & Music,4.5K
70,Welson Sim @welsonsim,15.1K,0.77%,Malaysia,Sports Fitness & Health,4.5K
71,Oh! Media @ohmedia,14.7K,0.38%,Malaysia,Food Photography,4.4K
72,ABE JAA 🇲🇾 @jaasuzuran,14.7K,1.88%,Malaysia,,4.4K
73,DAMON DOMINIQUE @damondominique,14.6K,1.07%,Malaysia,Travel,4.4K
74,ZALORA Malaysia @zaloramy,14.6K,0.07%,Malaysia,Fashion & Accessories,4.4K
75,Hafiz Hamidun @hafizhamidun,14.5K,0.75%,Malaysia,Education,4.4K
76,Suria Malaysia @suriamalaysia,14.2K,0.31%,Malaysia,Entertainment & Music,4.3K
77,Nina Sabrina Ismail Sabri @ninaismailsabri,14K,0.14%,Malaysia,family Fashion & Accessories,4.2K
78,Sheilanan🇲🇾 @sheilanan,13.7K,2.69%,Malaysia,Food Fashion & Accessories Beauty & Self Care,4.1K
79,Fendy Bakry @fendybakry,13.2K,0.83%,Malaysia,Entertainment & Music,4K
80,Issey Fazlisham @isseyfazlisham,13.1K,0.48%,Malaysia,Entertainment & Music,3.9K
81,Ash&Wife @malayfoodlicious,12.7K,1.28%,Malaysia,Food Travel,3.8K
82,HIJABISTAHUB ® @hijabista.hub,12.5K,0.15%,Malaysia,Fashion & Accessories,3.8K
83,Sharon🇲🇾 @sharon.iim,12.3K,1.56%,Malaysia,Arts & Crafts Education,3.7K
84,Kid Inn Lim @kidinn___,12K,0.91%,Malaysia,Entertainment & Music,3.6K
85,SYAFIQNASER @nursyafiqnaser,12K,0.65%,Malaysia,Comedy,3.6K
86,Hannah Yeoh @hannahyeoh,12K,0.43%,Malaysia,Politics family,3.6K
87,Epic Asian @epic.asian,11.8K,1.85%,Malaysia,,3.5K
88,@syasyarushdiena,11.8K,6.49%,Malaysia,Business,3.5K
89,Alvin Chong @alvinchong123,11.7K,1.88%,Malaysia,Entertainment & Music,3.5K
90,Cik Manggis | De Fam @cikmanggis,11.5K,0.48%,Malaysia,Entertainment & Music,3.5K
91,Adeline黄燕平 @adelinewongg,11.5K,1.17%,Malaysia,Arts & Crafts,3.5K
92,artortoise @artortoise,11.5K,0.46%,Malaysia,Arts & Crafts,3.5K
93,Elfin宸玥 @309cc_,11.5K,2.74%,Malaysia,Entertainment & Music,3.4K
94,Natasha Hudson | ناتاشا @natashahudsonofficial,11.4K,0.19%,Malaysia,Acting & Drama Outdoor Activity,3.4K
95,Tourism Malaysia @malaysia.truly.asia,11.4K,0.25%,Malaysia,Travel,3.4K
96,POKOKS KIDS @pokoks.kids,11.4K,-,Malaysia,family Fashion & Accessories,3.4K
97,NO 1 - ONLINE BROCADE/LACE MALAYSIA @jizanlykl,11.3K,0.03%,Malaysia,Product Showcase Auto and Vehicles,3.4K
98,Dr Ben Gee @drbengee,11.1K,1.06%,Malaysia,Healthcare family,3.3K
99,Sarimah Ibrahim @sarimahibrahim,11K,0.45%,Malaysia,Education Fitness & Health,3.3K
100,@kayan.c,11K,0.36%,Malaysia,,3.3K
