#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ebit Lew @ustazebitlew,6.7M,0.3%,Malaysia,Finance,2M
2,VIEW Chin @viewchin_view,2.4M,1.2%,Malaysia,Fashion and Accessories,720K
3,Shuib Sepahtu @shuibsepahtu,2.4M,0.1%,Malaysia,,720K
4,Siti Nurhaliza @toktitiktok,2.3M,-,Malaysia,Entertainment and Music,690K
5,davidddodle @davidddodle,2M,-,Malaysia,Celebrity,600K
6,Alvin Chong @alvinchong123,1.9M,0.1%,Malaysia,Entertainment and Music,570K
7,Asad Motawh @asadmotawhhh,1.7M,-,Malaysia,,510K
8,ATAATA @ataata0102,1.6M,0.2%,Malaysia,Travel,480K
9,Foodie @foodiemy,1.6M,-,Malaysia,Food Food and Drink,480K
10,Zhyla17 @zhyla17,1.5M,-,Malaysia,,450K
11,erissa puteri hashim @erissa_puteri,1.4M,-,Malaysia,,420K
12,StellaCinderella @stellacinderella,1.4M,-,Malaysia,Fashion and Accessories,420K
13,Zee5 @zeemarwadriana,1.3M,-,Malaysia,Beauty,390K
14,findyyyy_ @findyyong_,1.2M,-,Malaysia,Fashion and Accessories Product Education Product Showcase,360K
15,Daisey Gorgeous @daiseygorgeous,1.2M,-,Malaysia,Beauty and Self Care,360K
16,QU PUTEH BARULAH PUTEH @datoserividaofficial,1.2M,-,Malaysia,Entertainment and Music Music,360K
17,imantroye @imantroye,1.2M,-,Malaysia,,360K
18,S i t i @ct.mr,1.1M,0.1%,Malaysia,,330K
19,Siti Nordiana @sitinordiana84,1M,2.1%,Malaysia,Celebrity Music,300K
20,1.m @xx_rody_x,994.1K,-,Malaysia,,298.2K
21,Rusa Music @rusamusic,987.3K,-,Malaysia,Celebrity Music,296.2K
22,leeloo 𓆩❤︎𓆪 @lawcombe,980.6K,-,Malaysia,,294.2K
23,Zulin Aziz @zulinaziz,980.5K,-,Malaysia,,294.2K
24,zhi.binggg @zhi.binggg,973.8K,-,Malaysia,,292.1K
25,𝗠𝗿𝘀𝘆 ♡ @macakanikan,973.3K,0.1%,Malaysia,,292K
26,Dhilah @nurfadhilah979,948.1K,-,Malaysia,,284.4K
27,View Team @viewfashion26,946.4K,-,Malaysia,Fashion,283.9K
28,UtusanTV @utusantvofficial,946.3K,0.1%,Malaysia,,283.9K
29,mawarashid @mawarashid,943.8K,-,Malaysia,,283.1K
30,Linda Said @wanitabermisai,940.9K,-,Malaysia,,282.3K
31,Elya Maisara @elya217,933.6K,-,Malaysia,,280.1K
32,Hads :p @kurapikarmin,923.6K,-,Malaysia,Music,277.1K
33,Safwan Nazri @safwannazri7,919.3K,-,Malaysia,,275.8K
34,TV3Malaysia @tv3malaysia,900.2K,-,Malaysia,,270.1K
35,UstazKazimOfficial @datoustazmohdkazimelias,896K,0.3%,Malaysia,,268.8K
36,Marra Lpn @marralpn,893.8K,-,Malaysia,Fitness and Health,268.1K
37,Syaa Meoow @syaameoow,887.5K,-,Malaysia,Entertainment and Music,266.3K
38,ANNA JOBLING @annajobling,885.4K,0.1%,Malaysia,,265.6K
39,AYU KEPOH @ayu_kepoh,881.8K,-,Malaysia,,264.5K
40,FaizPaeh @faizpaehh,875.8K,-,Malaysia,Sports,262.7K
41,Elden Chan(800k+followers) @eldenchan17,874.8K,-,Malaysia,Entertainment and Music Acting and Drama,262.4K
42,Gori Nagori @gorinagori,855K,-,Malaysia,,256.5K
43,Kaka Azman @kakaazman,854.2K,-,Malaysia,Business and Finance,256.3K
44,albes_bert🤍 @albes_al,852.7K,-,Malaysia,,255.8K
45,zaid faiz @zaidfaiz.07,849.8K,0.2%,Malaysia,,254.9K
46,@Ayu🐈🐈 @nihasmira_ayu,838.6K,-,Malaysia,,251.6K
47,Princess Anie Darus @princessaniedarus_69,832.6K,-,Malaysia,Pets,249.8K
48,minimal.5 @minimal.5,827.2K,1.6%,Malaysia,,248.2K
49,Farhana Zahra @farhanazahra91,824.2K,-,Malaysia,,247.3K
50,Ash @ash.rafz,815.2K,-,Malaysia,,244.6K
51,Azrul Affandi Sobry @penceritatv,815.1K,-,Malaysia,,244.5K
52,Down To Earth @maxdte_,808.8K,-,Malaysia,,242.6K
53,Gabriel Marquez 🧸 @gabriel_marquez94,808.2K,0.7%,Malaysia,,242.5K
54,•нυхaιмιq• @huxaimiq,805.7K,-,Malaysia,,241.7K
55,tahani @tahaniariel,804K,-,Malaysia,Acting and Drama Entertainment and Music,241.2K
56,𝘇𝗶𝗻 @rzinz._,803.8K,-,Malaysia,,241.1K
57,W A N I E Y M U A @wanieymua,803.5K,-,Malaysia,Beauty and Self Care,241.1K
58,BOSSKU @joki_bossku.everyday,800.6K,0.1%,Malaysia,Business and Finance Video Gaming,240.2K
59,JEii Pong @je_pong,796.9K,-,Malaysia,Entertainment and Music,239.1K
60,Gamesplay1313 @gamesplay1313,790.2K,-,Malaysia,,237.1K
61,Lazada Malaysia @lazada_my,785.8K,-,Malaysia,,235.7K
62,张秋雯QiuWen 🌸 @qiuwen1014,780.3K,-,Malaysia,,234.1K
